modelo,split,alvo_delta,MAE,RMSE,corr,configuracao,grupo_removido,n_features,semente,melhor_epoca,MAE_referencia,delta_MAE,delta_MAE_pct
MLP,validacao,delta_depth_p10_m,0.062326611546142004,0.09057787904472181,0.364037359371081,Todas as entradas,Nenhum,52,21,32,0.062326611546142004,0.0,0.0
MLP,validacao,delta_depth_p50_m,0.19989270995206693,0.2862482146573797,0.43563118696886155,Todas as entradas,Nenhum,52,21,32,0.19989270995206693,0.0,0.0
MLP,validacao,delta_depth_p90_m,1.159770854288838,3.262216003533127,0.14502897034341436,Todas as entradas,Nenhum,52,21,32,1.159770854288838,0.0,0.0
MLP,validacao,delta_depth_close_2m_pp,1.1361823853793527,1.7446716284467756,0.5528969771556652,Todas as entradas,Nenhum,52,21,32,1.1361823853793527,0.0,0.0
MLP,validacao,delta_depth_close_5m_pp,1.389594420885174,1.7895047873886354,0.5188053316899685,Todas as entradas,Nenhum,52,21,32,1.389594420885174,0.0,0.0
MLP,validacao,delta_depth_close_10m_pp,0.8821392088590073,1.1666040361760897,0.5423720920198329,Todas as entradas,Nenhum,52,21,32,0.8821392088590073,0.0,0.0
MLP,teste,delta_depth_p10_m,0.08872678624886957,0.23176638739022992,0.22009540832454258,Todas as entradas,Nenhum,52,21,32,0.08872678624886957,0.0,0.0
MLP,teste,delta_depth_p50_m,0.17948897800190336,0.2700143402657409,0.1819265340732585,Todas as entradas,Nenhum,52,21,32,0.17948897800190336,0.0,0.0
MLP,teste,delta_depth_p90_m,0.9298173297268457,1.562908895345155,0.01460513638518762,Todas as entradas,Nenhum,52,21,32,0.9298173297268457,0.0,0.0
MLP,teste,delta_depth_close_2m_pp,1.0235444487981558,1.592897887935862,0.206215199216597,Todas as entradas,Nenhum,52,21,32,1.0235444487981558,0.0,0.0
MLP,teste,delta_depth_close_5m_pp,1.7601244119324158,2.855993204780952,0.1804502664844486,Todas as entradas,Nenhum,52,21,32,1.7601244119324158,0.0,0.0
MLP,teste,delta_depth_close_10m_pp,0.8161416257902834,1.142903262544696,0.4063636337045855,Todas as entradas,Nenhum,52,21,32,0.8161416257902834,0.0,0.0
MLP,validacao,delta_depth_p10_m,0.0676433667978813,0.09745359777294366,0.295680425765524,Todas as entradas,Nenhum,52,42,116,0.0676433667978813,0.0,0.0
MLP,validacao,delta_depth_p50_m,0.19678962808102368,0.2756361146208633,0.4993719443503539,Todas as entradas,Nenhum,52,42,116,0.19678962808102368,0.0,0.0
MLP,validacao,delta_depth_p90_m,1.201333108853642,3.3194825391325904,0.03772575641904064,Todas as entradas,Nenhum,52,42,116,1.201333108853642,0.0,0.0
MLP,validacao,delta_depth_close_2m_pp,1.1978100406351802,1.7001135651805153,0.5277182258328608,Todas as entradas,Nenhum,52,42,116,1.1978100406351802,0.0,0.0
MLP,validacao,delta_depth_close_5m_pp,1.4182106781901573,1.8258094241030858,0.4814747740668539,Todas as entradas,Nenhum,52,42,116,1.4182106781901573,0.0,0.0
MLP,validacao,delta_depth_close_10m_pp,0.8463452151436393,1.1491242290998227,0.5816352723275913,Todas as entradas,Nenhum,52,42,116,0.8463452151436393,0.0,0.0
MLP,teste,delta_depth_p10_m,0.09632765321739462,0.2484123429655712,-0.07368877404569149,Todas as entradas,Nenhum,52,42,116,0.09632765321739462,0.0,0.0
MLP,teste,delta_depth_p50_m,0.185302600462703,0.28011645540783603,0.004709174612772379,Todas as entradas,Nenhum,52,42,116,0.185302600462703,0.0,0.0
MLP,teste,delta_depth_p90_m,0.923135912076798,1.653643080663381,-0.21029500245018518,Todas as entradas,Nenhum,52,42,116,0.923135912076798,0.0,0.0
MLP,teste,delta_depth_close_2m_pp,1.0490709682790305,1.7509971052125335,-0.11383722089458852,Todas as entradas,Nenhum,52,42,116,1.0490709682790305,0.0,0.0
MLP,teste,delta_depth_close_5m_pp,1.8219351858622643,2.986273489236605,-0.01959593397602425,Todas as entradas,Nenhum,52,42,116,1.8219351858622643,0.0,0.0
MLP,teste,delta_depth_close_10m_pp,0.8544717183210602,1.1699400277304979,0.28973086714198487,Todas as entradas,Nenhum,52,42,116,0.8544717183210602,0.0,0.0
MLP,validacao,delta_depth_p10_m,0.06367303980569178,0.09210676733007296,0.33754039519150564,Todas as entradas,Nenhum,52,84,22,0.06367303980569178,0.0,0.0
MLP,validacao,delta_depth_p50_m,0.2013256567365983,0.28469772794551806,0.4864225745118477,Todas as entradas,Nenhum,52,84,22,0.2013256567365983,0.0,0.0
MLP,validacao,delta_depth_p90_m,1.1526313451175905,3.2503122097969093,0.1780550285889649,Todas as entradas,Nenhum,52,84,22,1.1526313451175905,0.0,0.0
MLP,validacao,delta_depth_close_2m_pp,1.120390941079035,1.7302517247286553,0.5612190390195944,Todas as entradas,Nenhum,52,84,22,1.120390941079035,0.0,0.0
MLP,validacao,delta_depth_close_5m_pp,1.3509588505785146,1.785555392044136,0.5386664122531079,Todas as entradas,Nenhum,52,84,22,1.3509588505785146,0.0,0.0
MLP,validacao,delta_depth_close_10m_pp,0.8709211434408002,1.1815864649373484,0.5736223357738722,Todas as entradas,Nenhum,52,84,22,0.8709211434408002,0.0,0.0
