modelo,split,alvo_delta,MAE,RMSE,corr
Media treino,validacao,delta_depth_p10_m,0.06329149432640953,0.09535823476031906,
Media treino,validacao,delta_depth_p50_m,0.21920636051921483,0.3148167399249826,
Media treino,validacao,delta_depth_p90_m,1.147061309823706,3.2938542334521808,
Media treino,validacao,delta_depth_close_2m_pp,1.212020714744419,1.9823752843281606,
Media treino,validacao,delta_depth_close_5m_pp,1.5519120539856728,2.08161175174656,
Media treino,validacao,delta_depth_close_10m_pp,0.9511296442120817,1.3367391110268585,
Media treino,teste,delta_depth_p10_m,0.08673138326511037,0.23784213225175016,
Media treino,teste,delta_depth_p50_m,0.18856772083277856,0.2706885481529042,
Media treino,teste,delta_depth_p90_m,0.8245828221153356,1.5198102779253102,
Media treino,teste,delta_depth_close_2m_pp,1.0869209374256517,1.6126941263286643,
Media treino,teste,delta_depth_close_5m_pp,1.8488004964319722,2.8792906969054246,
Media treino,teste,delta_depth_close_10m_pp,0.9095890408567621,1.2326396747391826,
Random Forest,validacao,delta_depth_p10_m,0.05902307696808696,0.08623392968092992,0.4202004364490064
Random Forest,validacao,delta_depth_p50_m,0.20445573398821817,0.29717448186266293,0.3413033612535661
Random Forest,validacao,delta_depth_p90_m,1.1594240214348563,3.211541783032851,0.2738825767013007
Random Forest,validacao,delta_depth_close_2m_pp,1.1095351232631678,1.7038026556171535,0.5650869028554116
Random Forest,validacao,delta_depth_close_5m_pp,1.421097970062738,1.8759725699874965,0.4458061796157128
Random Forest,validacao,delta_depth_close_10m_pp,0.8953065779154128,1.2079950720650015,0.493278211144701
Random Forest,teste,delta_depth_p10_m,0.08862925939999712,0.23329357480110613,0.18808842542968265
Random Forest,teste,delta_depth_p50_m,0.1761610598313575,0.27326442821261726,0.125804267012385
Random Forest,teste,delta_depth_p90_m,0.9234859722475302,1.5794836139176442,0.010260226156157088
Random Forest,teste,delta_depth_close_2m_pp,1.0735467844950142,1.653725916701257,0.1147337445403126
Random Forest,teste,delta_depth_close_5m_pp,1.765939853770525,2.840257647275004,0.19596213365012344
Random Forest,teste,delta_depth_close_10m_pp,0.8602396331753457,1.1818962713426722,0.28374299007916065
Extra Trees,validacao,delta_depth_p10_m,0.06309656517820503,0.0917555928623662,0.306966783036703
Extra Trees,validacao,delta_depth_p50_m,0.2035169892369532,0.2964564694995927,0.3510533017579684
Extra Trees,validacao,delta_depth_p90_m,1.1101206168842626,3.2591693191665274,0.16474262703037768
Extra Trees,validacao,delta_depth_close_2m_pp,1.156177479574335,1.7833865462804168,0.4514168759117953
Extra Trees,validacao,delta_depth_close_5m_pp,1.4491474192258498,1.915259586295808,0.4006738846316714
Extra Trees,validacao,delta_depth_close_10m_pp,0.8847150020670617,1.2093990879394971,0.5147477542234479
Extra Trees,teste,delta_depth_p10_m,0.09101235430880476,0.2326738288352051,0.19670347066130034
Extra Trees,teste,delta_depth_p50_m,0.1837536573455055,0.27922406620815476,0.08160359448173854
Extra Trees,teste,delta_depth_p90_m,0.9391095032749315,1.6171492517634685,-0.03460942943232513
Extra Trees,teste,delta_depth_close_2m_pp,1.122893674693028,1.7178341076937695,0.0979801181743007
Extra Trees,teste,delta_depth_close_5m_pp,1.7981091715841957,2.874021393032609,0.17041421424580855
Extra Trees,teste,delta_depth_close_10m_pp,0.8711763805079125,1.204525994229115,0.23660302001134978
MLP,validacao,delta_depth_p10_m,0.0676433667978813,0.09745359777294366,0.295680425765524
MLP,validacao,delta_depth_p50_m,0.19678962808102368,0.2756361146208633,0.4993719443503539
MLP,validacao,delta_depth_p90_m,1.201333108853642,3.3194825391325904,0.03772575641904064
MLP,validacao,delta_depth_close_2m_pp,1.1978100406351802,1.7001135651805153,0.5277182258328608
MLP,validacao,delta_depth_close_5m_pp,1.4182106781901573,1.8258094241030858,0.4814747740668539
MLP,validacao,delta_depth_close_10m_pp,0.8463452151436393,1.1491242290998227,0.5816352723275913
MLP,teste,delta_depth_p10_m,0.09632765321739462,0.2484123429655712,-0.07368877404569149
MLP,teste,delta_depth_p50_m,0.185302600462703,0.28011645540783603,0.004709174612772379
MLP,teste,delta_depth_p90_m,0.923135912076798,1.653643080663381,-0.21029500245018518
MLP,teste,delta_depth_close_2m_pp,1.0490709682790305,1.7509971052125335,-0.11383722089458852
MLP,teste,delta_depth_close_5m_pp,1.8219351858622643,2.986273489236605,-0.01959593397602425
MLP,teste,delta_depth_close_10m_pp,0.8544717183210602,1.1699400277304979,0.28973086714198487
