modelo,split,event_rate_real,event_rate_pred,balanced_acc,precision_evento,recall_evento,f1_evento,avg_precision,tn,fp,fn,tp,marco_runs,estrategia_split
MLP evento,validacao,0.7647058823529411,0.7294117647058823,0.6173076923076923,0.8225806451612904,0.7846153846153846,0.8031496062992126,0.8686008426656218,9,11,14,51,9,validacao_teste_fixos
MLP evento,teste,0.7340425531914894,0.851063829787234,0.5620289855072464,0.7625,0.8840579710144928,0.8187919463087249,0.8501887530097613,6,19,8,61,9,validacao_teste_fixos
MLP evento,validacao,0.7647058823529411,0.7294117647058823,0.6173076923076923,0.8225806451612904,0.7846153846153846,0.8031496062992126,0.8812157237123237,9,11,14,51,17,validacao_teste_fixos
MLP evento,teste,0.7340425531914894,0.776595744680851,0.5657971014492754,0.7671232876712328,0.8115942028985508,0.7887323943661971,0.8096432935683187,8,17,13,56,17,validacao_teste_fixos
MLP evento,validacao,0.7647058823529411,0.6352941176470588,0.7192307692307692,0.8888888888888888,0.7384615384615385,0.8067226890756303,0.887118635796488,14,6,17,48,25,validacao_teste_fixos
MLP evento,teste,0.7340425531914894,0.7978723404255319,0.6892753623188406,0.8266666666666667,0.8985507246376812,0.8611111111111112,0.8666081995041042,12,13,7,62,25,validacao_teste_fixos
MLP evento,validacao,0.7647058823529411,0.6941176470588235,0.6269230769230769,0.8305084745762712,0.7538461538461538,0.7903225806451613,0.8730795260060917,10,10,16,49,33,validacao_teste_fixos
MLP evento,teste,0.7340425531914894,0.7446808510638298,0.5440579710144927,0.7571428571428571,0.7681159420289855,0.762589928057554,0.8803180734452001,8,17,16,53,33,validacao_teste_fixos
MLP evento,validacao,0.7647058823529411,0.7529411764705882,0.6653846153846155,0.84375,0.8307692307692308,0.8372093023255814,0.851853900516065,10,10,11,54,40,validacao_teste_fixos
MLP evento,teste,0.7340425531914894,0.8085106382978723,0.6147826086956522,0.7894736842105263,0.8695652173913043,0.8275862068965517,0.8733295257585507,9,16,9,60,40,validacao_teste_fixos
