modelo,split,alvo_delta,MAE,RMSE,corr,marco_runs,estrategia_split
MLP,treino,delta_depth_p10_m,0.05693512479160903,0.10558641621909372,0.6282925541026722,9,validacao_teste_fixos
MLP,treino,delta_depth_p50_m,0.1295482870013479,0.1889237270582128,0.7600234427055346,9,validacao_teste_fixos
MLP,treino,delta_depth_p90_m,1.0050285503363436,1.9163508026742824,0.6338172611388089,9,validacao_teste_fixos
MLP,treino,delta_depth_close_2m_pp,0.9847995124992193,1.4433560069497977,0.6661823700078972,9,validacao_teste_fixos
MLP,treino,delta_depth_close_5m_pp,1.1316227074564469,1.692550098813633,0.7044500956378337,9,validacao_teste_fixos
MLP,treino,delta_depth_close_10m_pp,0.7195508378278342,0.9519460869337927,0.6299684189804673,9,validacao_teste_fixos
Media treino,treino,delta_depth_p10_m,0.07220525896373972,0.1279825867526545,,9,validacao_teste_fixos
Media treino,treino,delta_depth_p50_m,0.19008500974648346,0.27072965608974553,,9,validacao_teste_fixos
Media treino,treino,delta_depth_p90_m,1.1216101102684404,2.2785000119103906,,9,validacao_teste_fixos
Media treino,treino,delta_depth_close_2m_pp,1.2159920616283217,1.7958921977084525,,9,validacao_teste_fixos
Media treino,treino,delta_depth_close_5m_pp,1.549358212922797,2.2545246419787235,,9,validacao_teste_fixos
Media treino,treino,delta_depth_close_10m_pp,0.8386485957548617,1.144457831410086,,9,validacao_teste_fixos
MLP,validacao,delta_depth_p10_m,0.06465217404724881,0.09253838006210273,0.23737013279149247,9,validacao_teste_fixos
MLP,validacao,delta_depth_p50_m,0.21096064416034258,0.29637915763625894,0.355615225765267,9,validacao_teste_fixos
MLP,validacao,delta_depth_p90_m,1.1982528677650834,3.186400976872349,0.3034077237806186,9,validacao_teste_fixos
MLP,validacao,delta_depth_close_2m_pp,1.233072206074276,1.8830619095562462,0.32112823327483525,9,validacao_teste_fixos
MLP,validacao,delta_depth_close_5m_pp,1.5350854057306766,1.9617776860306895,0.38190640038124485,9,validacao_teste_fixos
MLP,validacao,delta_depth_close_10m_pp,0.9387095535525826,1.3002495276687986,0.23518131802421868,9,validacao_teste_fixos
