epoca,split,mse_padronizado,marco_runs
1,treino,1.191007893146823,40
1,validacao,0.7965869062192098,40
1,teste,0.7507869387629654,40
2,treino,1.0876342101927083,40
2,validacao,0.7245049060314473,40
2,teste,0.6685613215422727,40
3,treino,1.0417736203643249,40
3,validacao,0.6939188719921461,40
3,teste,0.6326650626262171,40
4,treino,1.0115943891984644,40
4,validacao,0.6744194913876962,40
4,teste,0.6121949637437667,40
5,treino,0.9867285861395848,40
5,validacao,0.6594586086962432,40
5,teste,0.599777032812768,40
6,treino,0.9643120023372829,40
6,validacao,0.6439356034911734,40
6,teste,0.5921110827905901,40
7,treino,0.9448727785688339,40
7,validacao,0.6323516535432656,40
7,teste,0.5872611332108311,40
8,treino,0.9269001363180204,40
8,validacao,0.6249851009286601,40
8,teste,0.5834066824219643,40
9,treino,0.9099263511573245,40
9,validacao,0.6190439394105743,40
9,teste,0.5805664961041002,40
10,treino,0.8929217119476679,40
10,validacao,0.6154807633021744,40
10,teste,0.5790249406304552,40
11,treino,0.876044162951466,40
11,validacao,0.6127238264037939,40
11,teste,0.5783073054352502,40
12,treino,0.8597447140302018,40
12,validacao,0.6107924933108688,40
12,teste,0.5766626121477688,40
13,treino,0.8452670997237849,40
13,validacao,0.6084160508389361,40
13,teste,0.574462612127739,40
14,treino,0.8318652795673782,40
14,validacao,0.6069977819069109,40
14,teste,0.5714476003524115,40
15,treino,0.8196062208496185,40
15,validacao,0.6032350916610981,40
15,teste,0.5679210043713729,40
16,treino,0.8085165023109605,40
16,validacao,0.6018425798058783,40
16,teste,0.5646599774878935,40
17,treino,0.7981537741756263,40
17,validacao,0.5979745227653542,40
17,teste,0.5628945824043097,40
18,treino,0.7885389627465226,40
18,validacao,0.596996718683452,40
18,teste,0.5592425170696302,40
19,treino,0.7794838251608321,40
19,validacao,0.5930659525788825,40
19,teste,0.5573773168451173,40
20,treino,0.7709647337980424,40
20,validacao,0.5910757957506069,40
20,teste,0.5542925453673188,40
21,treino,0.7630612077616689,40
21,validacao,0.5895961511214921,40
21,teste,0.553736493042119,40
22,treino,0.7552462688665501,40
22,validacao,0.5883529156626673,40
22,teste,0.5519780141527296,40
23,treino,0.7478662382680895,40
23,validacao,0.5858047446244448,40
23,teste,0.5505706395378103,40
24,treino,0.740816129425722,40
24,validacao,0.5845213253039763,40
24,teste,0.549383776663849,40
25,treino,0.7337184040192977,40
25,validacao,0.5826722857581234,40
25,teste,0.5500561805074156,40
26,treino,0.7268980271850495,40
26,validacao,0.5822473770396023,40
26,teste,0.5507592915231877,40
27,treino,0.7204568115912716,40
27,validacao,0.5837033726569131,40
27,teste,0.552227862558721,40
28,treino,0.7137108063689027,40
28,validacao,0.582609704792379,40
28,teste,0.5519636343501787,40
29,treino,0.7074175914442337,40
29,validacao,0.5826103698476294,40
29,teste,0.5528965309595164,40
30,treino,0.7012184304498249,40
30,validacao,0.5830749972240521,40
30,teste,0.5535023589659719,40
31,treino,0.6946650766701691,40
31,validacao,0.5854612403211581,40
31,teste,0.5548327979679164,40
32,treino,0.6881622095086835,40
32,validacao,0.5857304884763482,40
32,teste,0.5561349962230505,40
33,treino,0.6817093967226024,40
33,validacao,0.587504677682712,40
33,teste,0.5585197779002611,40
34,treino,0.675604289174968,40
34,validacao,0.5862860146569281,40
34,teste,0.5602687128434004,40
35,treino,0.6691153957330607,40
35,validacao,0.5870817734451119,40
35,teste,0.5614600653385198,40
36,treino,0.6629167101948037,40
36,validacao,0.5911882332639933,40
36,teste,0.5657145146853898,40
37,treino,0.6570509112116042,40
37,validacao,0.5914620302373401,40
37,teste,0.5668928172218731,40
38,treino,0.6509830741310266,40
38,validacao,0.5954568568302361,40
38,teste,0.57194137573168,40
39,treino,0.6450354027331572,40
39,validacao,0.5978991489558805,40
39,teste,0.5728181117211527,40
40,treino,0.6388275591012901,40
40,validacao,0.5981951645682273,40
40,teste,0.5774809126435938,40
41,treino,0.633266013270175,40
41,validacao,0.6003728820992021,40
41,teste,0.5808774562347628,40
42,treino,0.6269682238904681,40
42,validacao,0.6020467663265413,40
42,teste,0.582021175372299,40
43,treino,0.6211448520896594,40
43,validacao,0.6034848803293724,40
43,teste,0.5863006926179751,40
44,treino,0.6149514562846572,40
44,validacao,0.6076104905750028,40
44,teste,0.5901274007148648,40
45,treino,0.6093801816682646,40
45,validacao,0.6067251186967212,40
45,teste,0.5927287615303675,40
46,treino,0.6037247005885412,40
46,validacao,0.6097546560221553,40
46,teste,0.5969304305195514,40
47,treino,0.598072140567438,40
47,validacao,0.6102956971966932,40
47,teste,0.6018518180567838,40
48,treino,0.5928375892776415,40
48,validacao,0.6144263446235544,40
48,teste,0.605039492507177,40
49,treino,0.5869773039065198,40
49,validacao,0.6168513227973889,40
49,teste,0.6080996851830233,40
50,treino,0.5813850857067233,40
50,validacao,0.6204586788381823,40
50,teste,0.6124408631347436,40
51,treino,0.5758812580111842,40
51,validacao,0.6234330592282786,40
51,teste,0.6166699058407752,40
52,treino,0.570166571415845,40
52,validacao,0.6260337715672466,40
52,teste,0.6208441793180924,40
53,treino,0.5649537525429934,40
53,validacao,0.6253978726765644,40
53,teste,0.6211565490101457,40
54,treino,0.559010046050664,40
54,validacao,0.6285874669114347,40
54,teste,0.6267289781303288,40
55,treino,0.5538798642660561,40
55,validacao,0.6323405164284882,40
55,teste,0.6312020174748918,40
56,treino,0.5482037607608851,40
56,validacao,0.6308671829072263,40
56,teste,0.6331114126441554,40
57,treino,0.5428150469596117,40
57,validacao,0.6339029726839749,40
57,teste,0.6370295290929625,40
58,treino,0.5371966078021727,40
58,validacao,0.6341409830513055,40
58,teste,0.6388878465586195,40
59,treino,0.532291161379165,40
59,validacao,0.6369065361030579,40
59,teste,0.6422163018285109,40
60,treino,0.526569753628776,40
60,validacao,0.638249262442892,40
60,teste,0.6463234640650557,40
61,treino,0.5218387617294472,40
61,validacao,0.636669000846633,40
61,teste,0.6462513584202978,40
62,treino,0.51622371396479,40
62,validacao,0.6431386825874361,40
62,teste,0.6510728418223164,40
63,treino,0.5115503892424016,40
63,validacao,0.6413091404601529,40
63,teste,0.6512282681512328,40
64,treino,0.5063323787457924,40
64,validacao,0.6440206866574774,40
64,teste,0.6539719999105712,40
65,treino,0.5012143569250055,40
65,validacao,0.6471492974849636,40
65,teste,0.6592472213521288,40
66,treino,0.49605320058487895,40
66,validacao,0.647326093629934,40
66,teste,0.658279861302527,40
67,treino,0.4913469843247338,40
67,validacao,0.6495835258323405,40
67,teste,0.6619971854159633,40
68,treino,0.4864773662685076,40
68,validacao,0.6529938611814515,40
68,teste,0.6664980525341057,40
69,treino,0.48166651639940966,40
69,validacao,0.6558232254717461,40
69,teste,0.6694927147385803,40
70,treino,0.47738439647653824,40
70,validacao,0.6576097517141742,40
70,teste,0.6748752077547665,40
71,treino,0.4735197046088356,40
71,validacao,0.6569635393132724,40
71,teste,0.6762850517124687,40
72,treino,0.47012564985568,40
72,validacao,0.6624454048641095,40
72,teste,0.6801527550974292,40
73,treino,0.4652514861398207,40
73,validacao,0.6650306981588985,40
73,teste,0.6819197671320797,40
74,treino,0.459520288131318,40
74,validacao,0.6689133981342557,40
74,teste,0.6905534933145162,40
75,treino,0.4554026248635945,40
75,validacao,0.6672254960049009,40
75,teste,0.6909624653347773,40
76,treino,0.45086052124877113,40
76,validacao,0.6716455379870166,40
76,teste,0.6957486470172586,40
77,treino,0.4464686679213768,40
77,validacao,0.6778907212831871,40
77,teste,0.7009836409688323,40
78,treino,0.44250229455204887,40
78,validacao,0.6778942474873532,40
78,teste,0.7047869273455065,40
