alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo,representacao_angular
delta_depth_p10_m,dt_s,Sincronizacao,0.020193932577967644,2.0193932577967644,17,seno/cosseno
delta_depth_p10_m,depth_age_s,Sincronizacao,0.022722061723470688,2.272206172347069,14,seno/cosseno
delta_depth_p10_m,depth_dt_s,Sincronizacao,0.030102018266916275,3.0102018266916275,7,seno/cosseno
delta_depth_p10_m,delta_x_m,Movimento,0.03163641691207886,3.1636416912078857,5,seno/cosseno
delta_depth_p10_m,delta_y_m,Movimento,0.017734579741954803,1.7734579741954803,24,seno/cosseno
delta_depth_p10_m,delta_z_m,Movimento,0.012851635925471783,1.2851635925471783,39,seno/cosseno
delta_depth_p10_m,delta_gyro_x_rad_s,IMU e atitude,0.01794513501226902,1.794513501226902,23,seno/cosseno
delta_depth_p10_m,delta_gyro_y_rad_s,IMU e atitude,0.026158228516578674,2.6158228516578674,11,seno/cosseno
delta_depth_p10_m,delta_gyro_z_rad_s,IMU e atitude,0.0076136402785778046,0.7613640278577805,51,seno/cosseno
delta_depth_p10_m,delta_accel_x_m_s2,IMU e atitude,0.02780442126095295,2.780442126095295,9,seno/cosseno
delta_depth_p10_m,delta_accel_y_m_s2,IMU e atitude,0.03702366352081299,3.702366352081299,3,seno/cosseno
delta_depth_p10_m,delta_accel_z_m_s2,IMU e atitude,0.014409531839191914,1.4409531839191914,30,seno/cosseno
delta_depth_p10_m,delta_smooth_vx_m_s,Movimento,0.01668367348611355,1.6683673486113548,27,seno/cosseno
delta_depth_p10_m,delta_smooth_vy_m_s,Movimento,0.02655952051281929,2.655952051281929,10,seno/cosseno
delta_depth_p10_m,delta_obstacle_risk,Comandos reativos,0.009214847348630428,0.9214847348630428,47,seno/cosseno
delta_depth_p10_m,delta_avoid_lateral_body,Comandos reativos,0.013901743106544018,1.3901743106544018,34,seno/cosseno
delta_depth_p10_m,delta_avoid_brake,Comandos reativos,0.012768021784722805,1.2768021784722805,40,seno/cosseno
delta_depth_p10_m,flow_valid_points,Optical flow e risco,0.018981661647558212,1.8981661647558212,21,seno/cosseno
delta_depth_p10_m,flow_active_points,Optical flow e risco,0.017569083720445633,1.7569083720445633,26,seno/cosseno
delta_depth_p10_m,flow_track_retention_pct,Optical flow e risco,0.019103940576314926,1.9103940576314926,19,seno/cosseno
delta_depth_p10_m,flow_mean_x_px,Optical flow e risco,0.011901679448783398,1.1901679448783398,42,seno/cosseno
delta_depth_p10_m,flow_mean_y_px,Optical flow e risco,0.01657843589782715,1.6578435897827148,28,seno/cosseno
delta_depth_p10_m,flow_mag_mean_px,Optical flow e risco,0.02031966671347618,2.031966671347618,16,seno/cosseno
delta_depth_p10_m,flow_mag_p90_px,Optical flow e risco,0.030740762129426003,3.0740762129426003,6,seno/cosseno
delta_depth_p10_m,radial_flow_mean_px,Optical flow e risco,0.013652186840772629,1.3652186840772629,35,seno/cosseno
delta_depth_p10_m,radial_flow_p90_px,Optical flow e risco,0.019103286787867546,1.9103286787867546,20,seno/cosseno
delta_depth_p10_m,point_risk_mean_delta_basis,Optical flow e risco,0.0103036193177104,1.03036193177104,44,seno/cosseno
delta_depth_p10_m,point_risk_p75_delta_basis,Optical flow e risco,0.023804107680916786,2.3804107680916786,12,seno/cosseno
delta_depth_p10_m,img_delta_mean,Diferenca de imagem,0.012357784435153008,1.2357784435153008,41,seno/cosseno
delta_depth_p10_m,img_delta_std,Diferenca de imagem,0.03606931120157242,3.606931120157242,4,seno/cosseno
delta_depth_p10_m,img_delta_abs_mean,Diferenca de imagem,0.007294880226254463,0.7294880226254463,52,seno/cosseno
delta_depth_p10_m,img_delta_abs_p90,Diferenca de imagem,0.013976083137094975,1.3976083137094975,33,seno/cosseno
delta_depth_p10_m,flow_vec_rel_std,Optical flow e risco,0.012979093007743359,1.2979093007743359,38,seno/cosseno
delta_depth_p10_m,flow_vec_xy_mean,Optical flow e risco,0.014753259718418121,1.4753259718418121,29,seno/cosseno
