alvo_delta,feature,grupo,importancia,importancia_pct,ranking_no_alvo
delta_depth_close_10m_pp,delta_accel_x_m_s2,IMU e atitude,0.028540272265672684,2.8540272265672684,10
delta_depth_close_10m_pp,delta_accel_y_m_s2,IMU e atitude,0.020678658038377762,2.067865803837776,19
delta_depth_close_10m_pp,delta_accel_z_m_s2,IMU e atitude,0.01294110156595707,1.294110156595707,34
delta_depth_close_10m_pp,delta_avoid_brake,Comandos reativos,0.007737595122307539,0.7737595122307539,44
delta_depth_close_10m_pp,delta_avoid_lateral_body,Comandos reativos,0.023287862539291382,2.328786253929138,14
delta_depth_close_10m_pp,delta_gyro_x_rad_s,IMU e atitude,0.014279993250966072,1.4279993250966072,30
delta_depth_close_10m_pp,delta_gyro_y_rad_s,IMU e atitude,0.03337002545595169,3.337002545595169,7
delta_depth_close_10m_pp,delta_gyro_z_rad_s,IMU e atitude,0.009934908710420132,0.9934908710420132,40
delta_depth_close_10m_pp,delta_obstacle_risk,Comandos reativos,0.010225348174571991,1.022534817457199,38
delta_depth_close_10m_pp,delta_pitch_rad,IMU e atitude,0.09640613477677107,9.640613477677107,1
delta_depth_close_10m_pp,delta_roll_rad,IMU e atitude,0.028982197865843773,2.8982197865843773,9
delta_depth_close_10m_pp,delta_smooth_vx_m_s,Movimento,0.019323131069540977,1.9323131069540977,21
delta_depth_close_10m_pp,delta_smooth_vy_m_s,Movimento,0.016392230987548828,1.6392230987548828,28
delta_depth_close_10m_pp,delta_x_m,Movimento,0.018043775111436844,1.8043775111436844,24
delta_depth_close_10m_pp,delta_y_m,Movimento,0.016657980158925056,1.6657980158925056,26
delta_depth_close_10m_pp,delta_yaw_attitude_rad,IMU e atitude,0.018397324718534946,1.8397324718534946,23
delta_depth_close_10m_pp,delta_yaw_heading_rad,IMU e atitude,0.027045978233218193,2.7045978233218193,12
delta_depth_close_10m_pp,delta_z_m,Movimento,0.02788829244673252,2.788829244673252,11
delta_depth_close_10m_pp,depth_age_s,Sincronizacao,0.017343007028102875,1.7343007028102875,25
delta_depth_close_10m_pp,depth_dt_s,Sincronizacao,0.034901462495326996,3.4901462495326996,5
delta_depth_close_10m_pp,dt_s,Sincronizacao,0.02139168046414852,2.139168046414852,18
delta_depth_close_10m_pp,flow_active_points,Optical flow e risco,0.01923484355211258,1.923484355211258,22
delta_depth_close_10m_pp,flow_mag_mean_px,Optical flow e risco,0.014215194620192051,1.421519462019205,31
delta_depth_close_10m_pp,flow_mag_p90_px,Optical flow e risco,0.022484371438622475,2.2484371438622475,16
delta_depth_close_10m_pp,flow_mean_x_px,Optical flow e risco,0.020080452784895897,2.0080452784895897,20
delta_depth_close_10m_pp,flow_mean_y_px,Optical flow e risco,0.03393545001745224,3.393545001745224,6
delta_depth_close_10m_pp,flow_track_retention_pct,Optical flow e risco,0.014116131700575352,1.4116131700575352,32
delta_depth_close_10m_pp,flow_valid_points,Optical flow e risco,0.02337653934955597,2.337653934955597,13
delta_depth_close_10m_pp,flow_vec_radial_mean,Optical flow e risco,0.009900063276290894,0.9900063276290894,41
delta_depth_close_10m_pp,flow_vec_rel_std,Optical flow e risco,0.01019611582159996,1.019611582159996,39
delta_depth_close_10m_pp,flow_vec_risk_mean,Optical flow e risco,0.016518641263246536,1.6518641263246536,27
delta_depth_close_10m_pp,flow_vec_xy_mean,Optical flow e risco,0.009889418259263039,0.9889418259263039,42
delta_depth_close_10m_pp,gyro_x_integral_rad,IMU e atitude,0.031011467799544334,3.1011467799544334,8
delta_depth_close_10m_pp,gyro_y_integral_rad,IMU e atitude,0.07599236816167831,7.599236816167831,2
delta_depth_close_10m_pp,gyro_z_integral_rad,IMU e atitude,0.022307174280285835,2.2307174280285835,17
delta_depth_close_10m_pp,img_delta_abs_mean,Diferenca de imagem,0.015446343459188938,1.5446343459188938,29
delta_depth_close_10m_pp,img_delta_abs_p90,Diferenca de imagem,0.012003232724964619,1.2003232724964619,36
delta_depth_close_10m_pp,img_delta_mean,Diferenca de imagem,0.011631404049694538,1.1631404049694538,37
delta_depth_close_10m_pp,img_delta_std,Diferenca de imagem,0.039298105984926224,3.9298105984926224,3
delta_depth_close_10m_pp,pan_comp_delta_rad,Comandos reativos,0.03608647268265486,3.6086472682654858,4
delta_depth_close_10m_pp,point_risk_mean_delta_basis,Optical flow e risco,0.013894917443394661,1.389491744339466,33
delta_depth_close_10m_pp,point_risk_p75_delta_basis,Optical flow e risco,0.022747231647372246,2.2747231647372246,15
delta_depth_close_10m_pp,radial_flow_mean_px,Optical flow e risco,0.009078394621610641,0.9078394621610641,43
delta_depth_close_10m_pp,radial_flow_p90_px,Optical flow e risco,0.01278670970350504,1.278670970350504,35
delta_depth_close_2m_pp,delta_accel_x_m_s2,IMU e atitude,0.028346793726086617,2.8346793726086617,9
delta_depth_close_2m_pp,delta_accel_y_m_s2,IMU e atitude,0.026574399322271347,2.6574399322271347,13
delta_depth_close_2m_pp,delta_accel_z_m_s2,IMU e atitude,0.011360433883965015,1.1360433883965015,38
delta_depth_close_2m_pp,delta_avoid_brake,Comandos reativos,0.014040225185453892,1.4040225185453892,33
delta_depth_close_2m_pp,delta_avoid_lateral_body,Comandos reativos,0.019186440855264664,1.9186440855264664,21
delta_depth_close_2m_pp,delta_gyro_x_rad_s,IMU e atitude,0.014926687814295292,1.4926687814295292,31
delta_depth_close_2m_pp,delta_gyro_y_rad_s,IMU e atitude,0.032717034220695496,3.2717034220695496,7
delta_depth_close_2m_pp,delta_gyro_z_rad_s,IMU e atitude,0.007501929998397827,0.7501929998397827,44
delta_depth_close_2m_pp,delta_obstacle_risk,Comandos reativos,0.010089286603033543,1.0089286603033543,40
delta_depth_close_2m_pp,delta_pitch_rad,IMU e atitude,0.09019977413117886,9.019977413117886,1
delta_depth_close_2m_pp,delta_roll_rad,IMU e atitude,0.040866151452064514,4.086615145206451,3
delta_depth_close_2m_pp,delta_smooth_vx_m_s,Movimento,0.01727854460477829,1.727854460477829,27
delta_depth_close_2m_pp,delta_smooth_vy_m_s,Movimento,0.023613374680280685,2.3613374680280685,18
delta_depth_close_2m_pp,delta_x_m,Movimento,0.02364060841500759,2.364060841500759,17
delta_depth_close_2m_pp,delta_y_m,Movimento,0.01696040853857994,1.696040853857994,28
delta_depth_close_2m_pp,delta_yaw_attitude_rad,IMU e atitude,0.0258752154186368,2.58752154186368,14
delta_depth_close_2m_pp,delta_yaw_heading_rad,IMU e atitude,0.020972279831767082,2.097227983176708,19
delta_depth_close_2m_pp,delta_z_m,Movimento,0.0239582397043705,2.39582397043705,16
delta_depth_close_2m_pp,depth_age_s,Sincronizacao,0.017607994377613068,1.7607994377613068,25
delta_depth_close_2m_pp,depth_dt_s,Sincronizacao,0.028362132608890533,2.8362132608890533,8
delta_depth_close_2m_pp,dt_s,Sincronizacao,0.018847789615392685,1.8847789615392685,23
